,description,category
0,●  Graphics: NVIDIA® GeForce® RTX™ 2060 6GB. ●  Warranty: One Year Legion Ultimate Support. ●  Hard Drive: 512 GB PCIe SSD. Warranty valid until 01/22. ●  AC Adapter: 230W.,Electronics > Computers
1,Amazon.com: Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,Electronics > Communications
2,"Buy Dazzlingrock Collection 0.50 Carat (ctw) 14K Round White Diamond Machine Set Millgrain Stackable Wedding Band 1/2 CT, White Gold and other Wedding Bands at Amazon.com. Our wide selection is elegible for free shipping and free returns.",Apparel & Accessories > Jewelry
3,"Amazon.com: Bluetooth Car Adapter FM Transmitter, Vproof Car Wireless Radio Transmitter Adapter Music Player Car Kit W Blue Circle Ambient Light, 2 USB Ports, Hands Free Calling, TF Card & USB Flash Drive Support: Electronics",Vehicles & Parts > Vehicle Parts & Accessories
4,Buy Kaspersky Internet Security 2021 | 1 Device | 1 Year | PC/Mac/Android | Online Code: Read Software Reviews - Amazon.com,Software > Computer Software
5,"Style No.: L1230 51 FWN.  LACOSTE SPORT FIT POLO. Color:  Corsica Aqua. Collar: Polo shirt. Washing instructions:  Machine wash, do not tumble dry. Fit: Sport. Pattern: Solid.",Apparel & Accessories > Clothing
6,Freda chair beige and natural. Chair upholstered in fabric Varese anti stain Teflon treatment and removable cover with solid natural beechwood legs.,Furniture > Chairs
7,"J.K. Rowling is the author of the record-breaking, multi-award-winning Harry Potter novels. Loved by fans around the world, the series has sold over 450 million copies, been translated into 78 languages, and made into 8 blockbuster films.",Media > Books
8,Big Ken our Kentia Palm is the perfect plant for beginners and busy Londoners. Learn more about the Thatch Palm & buy online from Patch.,Home & Garden > Plants
9,Looking for Eastpak Trolleys in Black? Check out the Transmitter S Black! Free delivery and returns on the official store.,Luggage & Bags > Suitcases
10,Amazon.com : GoPro HERO7 Silver - E-Commerce Packaging - Waterproof Digital Action Camera with Touch Screen 4K HD Video 10MP Photos Live Streaming Stabilization : Electronics,Cameras & Optics > Cameras
